 Date   Con   Strat   Tot 
0.1 6 1687 1693
0.12223047153898127 14 1477 1491
0.1494028817264171 9 1176 1185
0.18261584682702608 5 1007 1012
0.22321221068157776 5 911 916
0.2728333376486768 6 741 747
0.3334854751235185 10 586 596
0.40762086875748876 8 583 591
0.4982369099735705 15 446 461
0.6089973244419449 20 406 426
0.7443803013251689 15 431 446
0.9098595523530434 18 415 433
1.1121256211835888 13 610 623
1.3593563908785256 23 849 872
1.6615477264660987 38 763 801
2.0309176209047357 56 660 716
2.482400184600118 43 589 632
3.034249451121265 74 477 551
3.7087774117744745 73 408 481
4.533256118743164 79 356 435
5.541020330009492 98 277 375
6.772815277441416 84 158 242
8.278444050080804 81 105 186
10.118781198504509 240 4106 4346
12.368233972929833 295 4254 4549
15.117750706156615 188 3196 3384
18.478497974222908 162 2200 2362
22.586355207213767 96 1134 1230
27.60740847324662 42 481 523
33.74466555654202 27 276 303
41.24626382901352 16 136 152
50.415502770415465 17 67 84
61.623106765027 18 36 54
75.3222139758624 9 24 33
92.06669731629698 8 14 22
112.53355826007646 10 5 15
137.5502989008857 1 4 5
168.12837894983065 2 3 5
205.50411038122337 0 1 1
