 Date   Con   Strat   Tot 
0.1 1067 126259 127326
0.12223047153898127 1110 120132 121242
0.1494028817264171 1212 111918 113130
0.18261584682702608 1184 102963 104147
0.22321221068157776 1354 94739 96093
0.2728333376486768 1464 86452 87916
0.3334854751235185 1638 79612 81250
0.40762086875748876 1794 74241 76035
0.4982369099735705 2027 68124 70151
0.6089973244419449 2205 63453 65658
0.7443803013251689 2478 58917 61395
0.9098595523530434 2721 55600 58321
1.1121256211835888 3483 56098 59581
1.3593563908785256 4238 55960 60198
1.6615477264660987 4690 49545 54235
2.0309176209047357 5100 40541 45641
2.482400184600118 5417 32675 38092
3.034249451121265 5656 25282 30938
3.7087774117744745 5696 18770 24466
4.533256118743164 5565 13136 18701
5.541020330009492 5138 8749 13887
6.772815277441416 4504 5352 9856
8.278444050080804 3691 3211 6902
10.118781198504509 11272 112250 123522
12.368233972929833 12245 111309 123554
15.117750706156615 10487 76016 86503
18.478497974222908 6998 38228 45226
22.586355207213767 3334 11000 14334
27.60740847324662 1098 1730 2828
33.74466555654202 442 482 924
41.24626382901352 254 285 539
50.415502770415465 176 180 356
61.623106765027 62 66 128
75.3222139758624 18 18 36
92.06669731629698 8 3 11
112.53355826007646 0 0 0
137.5502989008857 0 0 0
168.12837894983065 0 0 0
205.50411038122337 0 0 0
