 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-030115  407.0 42587.0 42994.0
 20151203-030508  425.0 42730.0 43155.0
 20151203-030901  314.0 43541.0 43855.0
 20151203-031254  369.0 44218.0 44587.0
 20151203-031647  431.0 44836.0 45267.0
 20151203-032041  417.0 45846.0 46263.0
 20151203-032434  422.0 47188.0 47610.0
 20151203-032827  479.0 48792.0 49271.0
 20151203-033221  588.0 49610.0 50198.0
 20151203-033614  734.0 51052.0 51786.0
 20151203-034021  710.0 52363.0 53073.0
 20151203-034430  974.0 54254.0 55228.0
 20151203-035050  695.0 57132.0 57827.0
 20151203-035443  816.0 58977.0 59793.0
 20151203-035837  885.0 60136.0 61021.0
 20151203-040230  1083.0 61300.0 62383.0
 20151203-040623  1118.0 62612.0 63730.0
 20151203-041017  1118.0 66013.0 67131.0
 20151203-041454  1078.0 68469.0 69547.0
 20151203-041917  1097.0 71544.0 72641.0
 20151203-042339  1110.0 74567.0 75677.0
 20151203-042801  1337.0 77501.0 78838.0
 20151203-043239  1421.0 80534.0 81955.0
 20151203-043702  1636.0 83092.0 84728.0
 20151203-044125  1884.0 84777.0 86661.0
 20151203-044534  2103.0 85627.0 87730.0
 20151203-044927  2269.0 87700.0 89969.0
 20151203-045320  2446.0 89171.0 91617.0
 20151203-045713  2555.0 90991.0 93546.0
 20151203-050105  2628.0 92543.0 95171.0
 20151203-050458  2810.0 95028.0 97838.0
 20151203-050907  2879.0 97327.0 100206.0
 20151203-051329  2867.0 99373.0 102240.0
 20151203-051750  3088.0 101605.0 104693.0
 20151203-052242  3281.0 103120.0 106401.0
 20151203-052719  3601.0 104342.0 107943.0
 20151203-053212  4306.0 105088.0 109394.0
 20151203-053719  4461.0 106221.0 110682.0
 20151203-054242  4479.0 108060.0 112539.0
 20151203-054822  4478.0 108371.0 112849.0
 20151203-055401  4398.0 110499.0 114897.0
 20151203-055941  4752.0 110671.0 115423.0
