 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-090022  1206.0 128886.0 130092.0
 20151203-090601  1235.0 127083.0 128318.0
 20151203-091140  1281.0 127504.0 128785.0
 20151203-091718  1515.0 125380.0 126895.0
 20151203-092258  1566.0 125721.0 127287.0
 20151203-092836  1164.0 124461.0 125625.0
 20151203-093415  1126.0 124072.0 125198.0
 20151203-093953  914.0 122927.0 123841.0
 20151203-094533  1004.0 122406.0 123410.0
 20151203-095111  935.0 123083.0 124018.0
 20151203-095649  767.0 122320.0 123087.0
 20151203-100229  760.0 123019.0 123779.0
 20151203-100807  783.0 120934.0 121717.0
 20151203-101346  428.0 119247.0 119675.0
 20151203-101924  534.0 121486.0 122020.0
 20151203-102503  545.0 120904.0 121449.0
 20151203-103041  611.0 120063.0 120674.0
 20151203-103620  467.0 118750.0 119217.0
 20151203-104200  550.0 116984.0 117534.0
 20151203-104738  382.0 115798.0 116180.0
 20151203-105316  412.0 113683.0 114095.0
 20151203-105855  503.0 111700.0 112203.0
 20151203-110435  480.0 109447.0 109927.0
 20151203-111014  517.0 109091.0 109608.0
 20151203-111552  474.0 109013.0 109487.0
 20151203-112131  528.0 108541.0 109069.0
 20151203-112709  417.0 108242.0 108659.0
 20151203-113248  347.0 109341.0 109688.0
 20151203-113827  377.0 108699.0 109076.0
 20151203-114406  443.0 109278.0 109721.0
 20151203-115201  659.0 109794.0 110453.0
 20151203-115740  669.0 109531.0 110200.0
 20151203-100229  760.0 123019.0 123779.0
 20151203-100807  783.0 120934.0 121717.0
 20151203-101346  428.0 119247.0 119675.0
 20151203-101924  534.0 121486.0 122020.0
 20151203-102503  545.0 120904.0 121449.0
 20151203-103041  611.0 120063.0 120674.0
 20151203-103620  467.0 118750.0 119217.0
 20151203-104200  550.0 116984.0 117534.0
 20151203-104738  382.0 115798.0 116180.0
 20151203-105316  412.0 113683.0 114095.0
 20151203-105855  503.0 111700.0 112203.0
