 Date   Con   Strat   Tot 
0.1 438 257407 257845
0.12223047153898127 546 269915 270461
0.1494028817264171 574 274594 275168
0.18261584682702608 651 274811 275462
0.22321221068157776 842 274005 274847
0.2728333376486768 856 274344 275200
0.3334854751235185 1036 271959 272995
0.40762086875748876 1168 266528 267696
0.4982369099735705 1436 256867 258303
0.6089973244419449 1588 242541 244129
0.7443803013251689 1902 222543 224445
0.9098595523530434 2264 198420 200684
1.1121256211835888 2688 181141 183829
1.3593563908785256 3191 157455 160646
1.6615477264660987 3379 121306 124685
2.0309176209047357 3323 85300 88623
2.482400184600118 3292 56636 59928
3.034249451121265 2924 36192 39116
3.7087774117744745 2609 21505 24114
4.533256118743164 2148 12316 14464
5.541020330009492 1733 6469 8202
6.772815277441416 1326 3211 4537
8.278444050080804 1049 1446 2495
10.118781198504509 2896 266332 269228
12.368233972929833 3091 253883 256974
15.117750706156615 2630 163320 165950
18.478497974222908 1739 78084 79823
22.586355207213767 909 21992 22901
27.60740847324662 311 3029 3340
33.74466555654202 152 530 682
41.24626382901352 104 184 288
50.415502770415465 51 84 135
61.623106765027 18 42 60
75.3222139758624 5 9 14
92.06669731629698 1 1 2
112.53355826007646 0 0 0
137.5502989008857 0 0 0
168.12837894983065 0 0 0
205.50411038122337 0 0 0
