 Date   Con   Strat   Tot 
0.1 577 305634 306211
0.12223047153898127 657 296371 297028
0.1494028817264171 729 277912 278641
0.18261584682702608 796 256489 257285
0.22321221068157776 860 237164 238024
0.2728333376486768 988 219733 220721
0.3334854751235185 1148 203056 204204
0.40762086875748876 1291 187190 188481
0.4982369099735705 1485 171948 173433
0.6089973244419449 1700 157236 158936
0.7443803013251689 1893 142216 144109
0.9098595523530434 2222 126395 128617
1.1121256211835888 2557 114192 116749
1.3593563908785256 2872 99261 102133
1.6615477264660987 3168 80233 83401
2.0309176209047357 3417 62456 65873
2.482400184600118 3800 46246 50046
3.034249451121265 4048 32692 36740
3.7087774117744745 4239 21786 26025
4.533256118743164 4372 14497 18869
5.541020330009492 4134 9051 13185
6.772815277441416 3988 5536 9524
8.278444050080804 3530 3208 6738
10.118781198504509 6626 106024 112650
12.368233972929833 7030 98720 105750
15.117750706156615 6423 62108 68531
18.478497974222908 4938 29171 34109
22.586355207213767 3029 8978 12007
27.60740847324662 1457 1755 3212
33.74466555654202 788 654 1442
41.24626382901352 433 399 832
50.415502770415465 221 138 359
61.623106765027 94 41 135
75.3222139758624 23 9 32
92.06669731629698 4 0 4
112.53355826007646 1 0 1
137.5502989008857 2 0 2
168.12837894983065 0 0 0
205.50411038122337 0 0 0
