 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-150412  907.0 98125.0 99032.0
 20151203-150951  690.0 98130.0 98820.0
 20151203-151531  1015.0 97564.0 98579.0
 20151203-152111  859.0 96669.0 97528.0
 20151203-152652  1125.0 94705.0 95830.0
 20151203-153232  1067.0 94982.0 96049.0
 20151203-153814  931.0 95211.0 96142.0
 20151203-154353  986.0 97053.0 98039.0
 20151203-154916  921.0 99129.0 100050.0
 20151203-155425  1021.0 101559.0 102580.0
 20151203-155902  1161.0 102414.0 103575.0
 20151203-160339  1081.0 102726.0 103807.0
 20151203-160801  877.0 103024.0 103901.0
 20151203-161239  855.0 104366.0 105221.0
 20151203-161748  853.0 105630.0 106483.0
 20151203-162311  983.0 106348.0 107331.0
 20151203-162852  1121.0 107759.0 108880.0
 20151203-163431  902.0 107054.0 107956.0
 20151203-164009  765.0 107753.0 108518.0
 20151203-164549  762.0 106396.0 107158.0
 20151203-165128  813.0 106548.0 107361.0
 20151203-165708  1398.0 105922.0 107320.0
 20151203-170247  1021.0 105185.0 106206.0
 20151203-170754  1292.0 104647.0 105939.0
 20151203-171247  1398.0 104556.0 105954.0
 20151203-171724  1391.0 103398.0 104789.0
 20151203-172217  1653.0 102088.0 103741.0
 20151203-172709  1974.0 102090.0 104064.0
 20151203-173219  2252.0 101487.0 103739.0
 20151203-173742  1904.0 99698.0 101602.0
 20151203-174322  2118.0 100101.0 102219.0
 20151203-174903  2055.0 97502.0 99557.0
 20151203-175442  1862.0 95689.0 97551.0
