 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-210003  2538.0 71524.0 74062.0
 20151203-210543  2981.0 69850.0 72831.0
 20151203-211123  3622.0 70334.0 73956.0
 20151203-211702  4342.0 69397.0 73739.0
 20151203-212242  4909.0 67865.0 72774.0
 20151203-212823  5624.0 67081.0 72705.0
 20151203-213403  5668.0 66052.0 71720.0
 20151203-213942  6399.0 64504.0 70903.0
 20151203-214520  6429.0 63998.0 70427.0
 20151203-215100  6911.0 62903.0 69814.0
 20151203-215639  6452.0 62100.0 68552.0
 20151203-220220  6834.0 62765.0 69599.0
 20151203-220800  6782.0 62311.0 69093.0
 20151203-221339  6353.0 61978.0 68331.0
 20151203-221920  6057.0 61535.0 67592.0
 20151203-222500  5786.0 61937.0 67723.0
 20151203-223039  6095.0 62798.0 68893.0
 20151203-223619  5823.0 61920.0 67743.0
 20151203-224158  5353.0 60381.0 65734.0
 20151203-224738  4269.0 59517.0 63786.0
 20151203-225316  4291.0 58320.0 62611.0
 20151203-225856  4156.0 57635.0 61791.0
 20151203-230437  4218.0 58327.0 62545.0
 20151203-231016  3583.0 58478.0 62061.0
 20151203-231556  3467.0 58402.0 61869.0
 20151203-232135  3242.0 58893.0 62135.0
 20151203-232713  3229.0 59316.0 62545.0
 20151203-233255  2730.0 59104.0 61834.0
 20151203-233834  2634.0 59708.0 62342.0
 20151203-234412  2478.0 60927.0 63405.0
 20151203-234936  2457.0 61487.0 63944.0
 20151203-235501  1788.0 62218.0 64006.0
 20151203-235954  1567.0 63240.0 64807.0
