 Date   Con   Strat   Tot 
0.1 2098 165374 167472
0.12223047153898127 2385 161378 163763
0.1494028817264171 2796 154919 157715
0.18261584682702608 3239 149455 152694
0.22321221068157776 3832 143842 147674
0.2728333376486768 4427 138559 142986
0.3334854751235185 5172 134024 139196
0.40762086875748876 5998 129695 135693
0.4982369099735705 6937 124148 131085
0.6089973244419449 8157 117414 125571
0.7443803013251689 9515 109094 118609
0.9098595523530434 10791 100049 110840
1.1121256211835888 15223 97143 112366
1.3593563908785256 18130 90207 108337
1.6615477264660987 18774 76508 95282
2.0309176209047357 18802 64257 83059
2.482400184600118 18505 53298 71803
3.034249451121265 17692 42550 60242
3.7087774117744745 17035 33359 50394
4.533256118743164 16444 25242 41686
5.541020330009492 15336 17502 32838
6.772815277441416 14386 11424 25810
8.278444050080804 13210 7022 20232
10.118781198504509 22887 77069 99956
12.368233972929833 22762 67221 89983
15.117750706156615 19985 41778 61763
18.478497974222908 15180 21053 36233
22.586355207213767 10324 8154 18478
27.60740847324662 6483 3305 9788
33.74466555654202 4106 1704 5810
41.24626382901352 2514 928 3442
50.415502770415465 1422 391 1813
61.623106765027 732 120 852
75.3222139758624 347 27 374
92.06669731629698 223 5 228
112.53355826007646 131 0 131
137.5502989008857 90 0 90
168.12837894983065 56 0 56
205.50411038122337 38 0 38
