 Date   Con   Strat   Tot 
0.1 652 112995 113647
0.12223047153898127 721 124237 124958
0.1494028817264171 828 132520 133348
0.18261584682702608 986 139084 140070
0.22321221068157776 1085 147260 148345
0.2728333376486768 1360 159085 160445
0.3334854751235185 1628 174579 176207
0.40762086875748876 2006 191592 193598
0.4982369099735705 2692 210296 212988
0.6089973244419449 3184 227759 230943
0.7443803013251689 3948 243372 247320
0.9098595523530434 5172 249615 254787
1.1121256211835888 6690 257002 263692
1.3593563908785256 8377 250655 259032
1.6615477264660987 9647 212466 222113
2.0309176209047357 10503 163816 174319
2.482400184600118 10761 121502 132263
3.034249451121265 10695 85655 96350
3.7087774117744745 10557 57376 67933
4.533256118743164 9359 36545 45904
5.541020330009492 8152 21914 30066
6.772815277441416 6699 12023 18722
8.278444050080804 5233 6430 11663
10.118781198504509 12019 239499 251518
12.368233972929833 12486 237594 250080
15.117750706156615 10404 163456 173860
18.478497974222908 7442 83694 91136
22.586355207213767 3693 25524 29217
27.60740847324662 1344 4009 5353
33.74466555654202 707 1029 1736
41.24626382901352 423 508 931
50.415502770415465 287 306 593
61.623106765027 114 125 239
75.3222139758624 33 23 56
92.06669731629698 7 5 12
112.53355826007646 1 1 2
137.5502989008857 0 0 0
168.12837894983065 0 0 0
205.50411038122337 0 0 0
