 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-180023  1665.0 95493.0 97158.0
 20151203-180602  1358.0 94674.0 96032.0
 20151203-181126  1062.0 94169.0 95231.0
 20151203-181634  1014.0 91653.0 92667.0
 20151203-182213  1203.0 90684.0 91887.0
 20151203-182751  1477.0 90118.0 91595.0
 20151203-183332  1412.0 89946.0 91358.0
 20151203-183911  1531.0 90406.0 91937.0
 20151203-184451  1369.0 92248.0 93617.0
 20151203-185031  1609.0 92926.0 94535.0
 20151203-185611  985.0 90022.0 91007.0
 20151203-190152  1272.0 88634.0 89906.0
 20151203-190731  1503.0 87611.0 89114.0
 20151203-191310  1287.0 85972.0 87259.0
 20151203-191850  1567.0 84024.0 85591.0
 20151203-192431  1444.0 81553.0 82997.0
 20151203-193011  1502.0 78981.0 80483.0
 20151203-193535  1566.0 79196.0 80762.0
 20151203-194029  1482.0 78675.0 80157.0
 20151203-194521  1510.0 78228.0 79738.0
 20151203-195242  1497.0 76727.0 78224.0
 20151203-195805  1724.0 77545.0 79269.0
 20151203-200346  1663.0 75766.0 77429.0
 20151203-200909  1587.0 76419.0 78006.0
 20151203-201447  1747.0 77073.0 78820.0
 20151203-202025  1419.0 76790.0 78209.0
 20151203-202604  1310.0 77008.0 78318.0
 20151203-203144  1326.0 77015.0 78341.0
 20151203-203723  1724.0 76736.0 78460.0
 20151203-204302  1801.0 75831.0 77632.0
 20151203-204842  2184.0 74470.0 76654.0
 20151203-205421  2261.0 73139.0 75400.0
