 Date   Con   Strat   Tot 
0.1 616 279883 280499
0.12223047153898127 747 300228 300975
0.1494028817264171 832 307826 308658
0.18261584682702608 980 314582 315562
0.22321221068157776 1116 319792 320908
0.2728333376486768 1371 327528 328899
0.3334854751235185 1512 335535 337047
0.40762086875748876 1785 340341 342126
0.4982369099735705 2159 340550 342709
0.6089973244419449 2624 331179 333803
0.7443803013251689 3040 310309 313349
0.9098595523530434 3613 280416 284029
1.1121256211835888 4186 249297 253483
1.3593563908785256 4757 209904 214661
1.6615477264660987 4856 162412 167268
2.0309176209047357 4995 117641 122636
2.482400184600118 4607 80905 85512
3.034249451121265 4336 52638 56974
3.7087774117744745 3736 32032 35768
4.533256118743164 3112 18589 21701
5.541020330009492 2463 10173 12636
6.772815277441416 1864 5047 6911
8.278444050080804 1356 2371 3727
10.118781198504509 2768 137517 140285
12.368233972929833 2813 128753 131566
15.117750706156615 2296 81226 83522
18.478497974222908 1610 37416 39026
22.586355207213767 894 10847 11741
27.60740847324662 392 1733 2125
33.74466555654202 194 570 764
41.24626382901352 130 246 376
50.415502770415465 64 97 161
61.623106765027 19 29 48
75.3222139758624 7 9 16
92.06669731629698 1 1 2
112.53355826007646 0 0 0
137.5502989008857 0 0 0
168.12837894983065 0 0 0
205.50411038122337 0 0 0
