 Date   Unc_Con   Unc_Strat   Unc_Tot 
 20151203-120318  907.0 109922.0 110829.0
 20151203-120859  860.0 110915.0 111775.0
 20151203-121438  1060.0 111917.0 112977.0
 20151203-122017  850.0 112418.0 113268.0
 20151203-122555  872.0 113309.0 114181.0
 20151203-123134  897.0 114020.0 114917.0
 20151203-123712  1099.0 114965.0 116064.0
 20151203-124250  1210.0 117003.0 118213.0
 20151203-124829  1099.0 119439.0 120538.0
 20151203-125407  1109.0 120474.0 121583.0
 20151203-125946  1455.0 120830.0 122285.0
 20151203-130524  1053.0 120046.0 121099.0
 20151203-131103  1069.0 120312.0 121381.0
 20151203-131641  1010.0 120580.0 121590.0
 20151203-132219  1225.0 121388.0 122613.0
 20151203-132758  998.0 120925.0 121923.0
 20151203-133337  1472.0 120091.0 121563.0
 20151203-133916  985.0 116932.0 117917.0
 20151203-134455  908.0 120280.0 121188.0
 20151203-135035  1017.0 120959.0 121976.0
 20151203-135616  855.0 120199.0 121054.0
 20151203-140155  1208.0 119681.0 120889.0
 20151203-140735  1184.0 117914.0 119098.0
 20151203-141314  1023.0 117844.0 118867.0
 20151203-141853  836.0 115417.0 116253.0
 20151203-142434  955.0 112568.0 113523.0
 20151203-143013  842.0 109203.0 110045.0
 20151203-143553  949.0 106069.0 107018.0
 20151203-144132  848.0 104655.0 105503.0
 20151203-144712  766.0 103416.0 104182.0
 20151203-145253  740.0 101624.0 102364.0
 20151203-145832  780.0 100608.0 101388.0
